Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
"The Harvest Center & Associates, LLC",19-RC-286014,Eugene,OR,11/9/21,"Region 19, Seattle, Washington",Closed,9/27/22,Certification of Results,18,20,,"Included: All production trimmers. Excluded: All guards, and managers and supervisors as defined by the Act."
The Communitas Group dba Communitas,19-RC-286009,Bremerton,WA,11/9/21,"Region 19, Seattle, Washington",Closed,1/25/22,Certific. of Representative,57,65,"Service Employees International Union, Local 775","Included: All full-time, part-time and on-call residential service employees employed by the Employer who provide direct care services including direct support professionals (“DSP”), team leads and any other similar job title or classification. Also, any other service classifications established hereafter where eligibility remains consistent with the National Labor Relations Act (NLRA) shall be included. Excluded: All case managers, other employees not providing residential care services employed by the Employer, managers, confidential employees, registered nurses, office clerical employees, professional employees, technical employees, receptionists, guards, schedulers, and supervisors as defined in NLRA."
"Safeway, Inc.",19-RC-285966,Sherwood,OR,11/9/21,"Region 19, Seattle, Washington",Closed,7/8/22,Certific. of Representative,3,1,"United Food and Commercial Workers Local 555, AFL-CIO",Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act.
OCADO SOLUTIONS USA INC.,09-RC-285949,Middletown,OH,11/9/21,"Region 09, Cincinnati, Ohio",Closed,1/25/22,Certification of Results,40,39,,"Included:  Sr. Maintenance Engineer, Maintenance. Engineer, Control Operator & Robotics Operator.

Excluded:  Inventory Coordinators, Information Technology Employees, Supervisors, Managers, Professional Employees, Clerical Employees and Guards."
Starbucks Corporation,03-RC-285929,Cheektowaga,NY,11/9/21,"Region 03, Buffalo, New York",Closed,9/6/22,Certification of Results,39,31,"Rochester Regional Joint Board, Workers United","All full-time and regular part-time Baristas, Shift Supervisors, Asst Store Managers.  Excluded:  Store Managers; office clericals, guards, and supervisors as defined by the Act."
"Paragon Systems, Inc.",05-RC-285988,Washington,DC,11/9/21,"Region 05, Baltimore, Maryland",Closed,1/4/22,Certific. of Representative,10,13,Protective Service Officers United (PSOS United),"Included:  All full & part-time guards at the facility. 

Excluded:  Office clericals, professional employees, managers & supervisors as defined by the Act."
JB Hunt,25-RC-285983,Burns Harbor,IN,11/9/21,"Region 25, Indianapolis, Indiana",Closed,11/30/21,Withdrawal Non-adjusted,,11,,"Included: All full and part time truck drivers domiciled at Rynerson Steel 

Excluded: All guards and clerical as defined in the Act"
Precision Concrete LLC,19-RC-286068,Seattle,WA,11/9/21,"Region 19, Seattle, Washington",Closed,1/14/22,Certific. of Representative,22,29,Operative Plasterers and Cement Masons International Association Local 528,Included: Only members of Cement Masons & Plasterers Local 528 - Seattle. Excluded: All other Craft Trades and Employees of Precision Concrete LLC.
"Half Price Books, Records, Magazines, Incorporated",18-RC-285951,Saint Louis Park,MN,11/8/21,"Region 18, Minneapolis, Minnesota",Closed,1/13/22,Certific. of Representative,14,16,United Food and Commercial Workers Local 663,"Included: All full-time and part-time employees, including Bookseller 1s, Bookseller 2s, Bookseller Trainees, and Shift Leaders Excluded: Store Managers, Assistant Store Managers, Temporary Employees, and any guards and supervisors as defined by the Act."
Children's Village,02-RC-285911,Dobbs Ferry,NY,11/8/21,"Region 02, New York, New York",Closed,11/18/21,Withdrawal Non-adjusted,,26,,"Included: All security guards and special security counselors

Excluded:
All other employees
"
"Nabitwo, LLC - California d/b/a Nabis",21-RC-285873,Los Angeles,CA,11/8/21,"Region 21, Los Angeles, California",Closed,12/13/21,Certific. of Representative,28,27,"Food, Industrial & Beverage Warehouse, Drivers and Clerical Employees Local 630, International Brotherhood of Teamsters","Included:  All Part and Full Time Drivers, Fleet Maintenance Lead.

Excluded:  All other employees, warehouse, dispatchers, generalists and professional employees, guards, supervisors and all employment agency workers as defined by the Act."
Rochester Eagles Club,18-RD-285913,Rochester,MN,11/8/21,"Region 18, Minneapolis, Minnesota",Closed,11/16/21,Withdrawal Non-adjusted,,13,,Included: Unite Here Local 17; Excluded: Managers and supervisors
Busch Agricultural Resources,27-RD-285954,Idaho Falls,ID,11/8/21,"Region 27, Denver, Colorado",Closed,1/14/22,Certification of Results,77,86,,"Include: All full-time elevator operators, malt operators, lead operators, plant foremen, electricians, general maintenance employees, lab analysts, research techs, and S and E operators I and II employed by the Employer at it's facility in Idaho Falls and Osgood, Idaho. Exclude: All other employees; casual employees; coordinators, including elevator, malt house, electrical plant safety and BTS coordinators; office clerks; planners, including technicians planners; salaried employees; confidential employees; temporary employees; seasonal employees; professional employees; guards; managers; and supervisors , as defined in by the Act 5."
"Half Price Books, Records, Magazines, Incorporated",18-RC-285951,Saint Louis Park,MN,11/8/21,"Region 18, Minneapolis, Minnesota",Closed,1/13/22,Certific. of Representative,14,16,United Food and Commercial Workers Local 663,"Included: All full-time and part-time employees, including Bookseller 1s, Bookseller 2s, Bookseller Trainees, and Shift Leaders Excluded: Store Managers, Assistant Store Managers, Temporary Employees, and any guards and supervisors as defined by the Act."
"Custom Aire, Inc.",04-RC-285830,Bensalem,PA,11/8/21,"Region 04, Philadelphia, Pennsylvania",Closed,3/22/22,Withdrawal Non-adjusted,,17,,"Included:
All employees employed by the employer at its 962 Bristol Pike, Bensalem, PA location

Excluded:
All managers, office/clerical employees, and guards as defined by the Act"
South Holland Manor Health & Rehab Center,13-RC-285779,South Holland,IL,11/5/21,"Region 13, Chicago, Illinois",Closed,1/6/22,Certific. of Representative,84,85,"SEIU HC Illinois, Indiana, Missouri and Kansas","Employees Included
All unrepresented service and maintenance employees, including Certified Nursing
Assistants (CNAs), dietary aides, activity aides, supply clerks, cooks, housekeepers,
janitors, and laundry aides
Employees Excluded
Licensed practical and registered nurses, confidential employees, casual employees,
guards, managers, and supervisors as defined by the Act and all currently represented
employees"
"Prospect CCMC, LLC d/b/a Crozer-Chester Medical Center",04-RC-285803,Chester,PA,11/5/21,"Region 04, Philadelphia, Pennsylvania",Closed,1/28/22,Certific. of Representative,9,8,"Professional and Public Service Employees, Local Union 1310 a/w Laborers’ International Union of North America, AFL-CIO","Included: All full-time and regular part-time 
Telecommunications Operators employed by the Employer at its One Medical Center Blvd., Upland, PA facility.

Excluded: All other employees, executive employees, administrators, department heads, confidential employees, office clerical employees, physicians, Crozer students, RNs, technical employees, professional employees, guards, and supervisors as defined in the Act. 
"
"St. James Wellness Rehab and Villas, LLC",13-RC-285745,Crete,IL,11/5/21,"Region 13, Chicago, Illinois",Closed,1/6/22,Certific. of Representative,58,50,"SEIU HC Illinois, Indiana, Missouri and Kansas","Employees Included
All unrepresented service and maintenance employees, including Certified Nursing
Assistants (CNAs), dietary aides, activity aides, cooks, housekeepers and laundry aides

Employees Excluded
Licensed practical and registered nurses, confidential employees, casual employees,
guards, managers, and supervisors as defined by the Act and all currently represented
employees"
"Westmont Manor HRC, LLC d/b/a Westmont Manor Health & Rehab Center",13-RC-285742,Westmont,IL,11/5/21,"Region 13, Chicago, Illinois",Closed,1/31/22,Certific. of Representative,20,23,"SEIU Health Care Illinois, Indiana, Missouri and Kansas","Employees Included
All unrepresented service and maintenance employees, including Certified Nursing
Assistants (CNAs), dietary aides, restorative aides, cooks, and housekeepers

Employees 
Excluded
Licensed practical and registered nurses, confidential employees, casual employees,
guards, managers, and supervisors as defined by the Act and all currently represented
employees"
LOUISVILLE & JEFFERSON COUNTY PUBLIC DEFENDER CORP.,09-RC-285757,Louisville,KY,11/5/21,"Region 09, Cincinnati, Ohio",Closed,1/21/22,Certific. of Representative,51,53,"International Brotherhood of Electrical Workers, AFL-CIO (IBEW), Local 369","Included:  All full-time and regular part-time nonsupervisory staff attorneys, including law school graduates awaiting bar examination results, employed by the Employer at its Louisville, Kentucky facility.

Excluded:  All office clerical employees and all other professional employees, guards, and supervisors as defined by the Act."
Dollar General Fresh,20-RC-285831,West Sacramento,CA,11/5/21,"Region 20, San Francisco, California",Closed,12/21/21,Certification of Results,54,41,,"Included: All warehouse employees and hostlers.

Excluded: All other employees, guards and supervisors."
"Amerinox Processing, Inc.",04-RC-285811,Camden,NJ,11/5/21,"Region 04, Philadelphia, Pennsylvania",Closed,12/17/21,Certification of Results,38,35,,"Included:
All full-time and regular part-time shipping/receiving employees, production and maintenance employees

Excluded:
"
Glenbeigh Health Sources,08-RC-285761,Rock Creek,OH,11/4/21,"Region 08, Cleveland, Ohio",Closed,2/2/22,Certification of Results,39,45,,
305 West End Assisted Living,02-RD-285700,New York,NY,11/4/21,"Region 02, New York, New York",Closed,12/1/21,Withdrawal Non-adjusted,,45,,"Included: 
KITCHEN , DINING , FRONT OFFICE AND HOUSEKEEPING 

Excluded: 
REFLECTIONS & WELLNESS"
"Sysco Central California, Inc.",32-RC-285744,Modesto,CA,11/4/21,"Region 32, Oakland, California",Closed,2/24/22,Certific. of Representative,54,58,GENERAL TEAMSTERS LOCAL 431,"Included:  All regular full time and part time drivers based out of the employer's Fresno location and serving Fresno and Tulare
Excluded:  Supervisors, Guards and Clericals"
"AES Compassionate Care, LLC d/b/a Curaleaf",04-RC-285717,Philadelphia,PA,11/4/21,"Region 04, Philadelphia, Pennsylvania",Closed,12/20/21,Certific. of Representative,26,26,"United Food and Commercial Workers Union, Local 1776","Included:  All full time and regular part time store associates at the employer's facility

Excluded:  managers, leads, supervisors, guards, professional employees as defined by the Act
"
"Lineage Logistics Services, LLC",19-RC-285696,Richland,WA,11/4/21,"Region 19, Seattle, Washington",Closed,1/28/22,Certification of Results,74,70,,"Included:  

All full-time and part-time CDL Truck Drivers employed at Richland Facility.

Excluded:  

All other employees, guards and supervisors per the NLRA."
"Integra Pool Covers, Inc.",25-RC-285715,Burlington,IA,11/4/21,"Region 25, Indianapolis, Indiana",Closed,1/20/22,Certific. of Representative,6,10,"District Lodge 6, International Association of Machinists and Aerospace Workers, AFL-CIO","Included: All full-time and regular part-time production and maintenance employees including shipping
and receiving employees.
Excluded: All other employees, Office clerical employees, professional employees, guards and supervisors, as defined by the Act."
Allina Health System,18-RC-285688,Minneapolis,MN,11/4/21,"Region 18, Minneapolis, Minnesota",Closed,12/30/21,Certific. of Representative,225,145,SEIU Healthcare Minnesota and Iowa,"Including:  All full-time and regular part-time medical lab scientists to be included in the existing professional employees and pharmacist employees bargaining unit pursuant to Armour-Globe.

Excluding:  All other professional employees, service and maintenance employees, technical employees, business office clerical employees, registered nurses, physicians, supervisors and guards."
"Willow Springs Skilled Nursing Facility, LLC d/b/a Bella Terra La Grange",13-RC-285743,La Grange,IL,11/4/21,"Region 13, Chicago, Illinois",Closed,11/29/21,Certific. of Representative,36,30,SEIU Healthcare Illinois & Indiana,"Employees Included
All unrepresented service and maintenance employees, including Certified Nursing
Assistants (CNAs), restorative aides, activity aides, and laundry aides
Employees Excluded
Licensed practical and registered nurses, confidential employees, casual employees,
guards, managers and supervisors as defined by the Act and all currently represented
employees."
Abbott Northwestern Hospital,18-RC-285702,Minneapolis,MN,11/4/21,"Region 18, Minneapolis, Minnesota",Closed,11/18/21,Withdrawal Non-adjusted,,9,,"Included:  All full-time and regular part-time lab assistants to be included in the existing non-professional employee bargaining unit pursuant to Armour-Globe.

Excluded:  All other non-professional employees, service and maintenance employees, professional employees, technical employees, business office clerical employees, registered nurses, physicians, supervisors and guards."
"EMCOR Government Services, Inc.",05-RC-285668,Washington,DC,11/4/21,"Region 05, Baltimore, Maryland",Closed,1/6/22,Certific. of Representative,2,2,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO","Included: All full-time and regular part-time employees, employed by the employer as Production Control Clerks at the United States Coast Guard Headquarters in Washington, DC.  Excluded: All Professional employees, all managerial employees, all guards and supervisors as defined by the Act."
"Swire Pacific Holdings Inc. d/b/a Swire Coca-Cola, USA",19-RD-285736,Eugene,OR,11/4/21,"Region 19, Seattle, Washington",Closed,3/10/23,Certification of Results,53,57,,"Included:  All Eugene employees currently working under Teamsters Local 206. Excluded:  Current Eugene non union employees and Swire Coca Cola employees not at the Eugene, OR location."
Nestle Purina Petcare Company,14-RC-285712,Saint Louis,MO,11/4/21,"Region 14, Saint Louis, Missouri",Closed,1/6/22,Certific. of Representative,1,8,"IBEW Local 1, Apprenticeship and Training Trust Fund","Included: Carpenters, carpenter millwrights, laborers, maintenance mechanics, drivers (Armour-Globe)

Excluded: electricians, painters, plumbers, operators, security guards, office employees"
Abbott Northwestern Hospital,18-RC-285660,Minneapolis,MN,11/4/21,"Region 18, Minneapolis, Minnesota",Closed,12/30/21,Certification of Results,13,65,SEIU Healthcare Minnesota,"Included:  All full-time and regular part-time medical lab technicians, medical lab technical assistants, and sonographers, to be included in the existing technical employee bargaining unit pursuant to Armour-Globe.

Excluded:  All other technical employees, service and maintenance employees, professional employees, business office clerical employees, registered nurses, physicians, supervisors and guards."
Wildcat Materials,14-RC-285653,Columbia,MO,11/3/21,"Region 14, Saint Louis, Missouri",Closed,1/28/22,Certific. of Representative,5,5,LIUNA Laborers' Local 955,"Included: Workers consisting of drywall material operators, handlers/laborers and drivers Excluded: office staff including supervisors and dispatchers"
LeGrand Johnson Construction Co.,27-RC-285642,Hyrum,UT,11/3/21,"Region 27, Denver, Colorado",Closed,11/29/21,Withdrawal Non-adjusted,,19,,"Include: Ready Mix Drivers at the Hyrum, Tremonton and Garden City locations Exclude: other truck drivers, operators, office supervisors, guards"
Hustler Conveyor Company,14-RD-285612,O Fallon,MO,11/3/21,"Region 14, Saint Louis, Missouri",Closed,11/10/21,Withdrawal Non-adjusted,,81,,"Included:  All full-time and regular part-time production and maintenance employees employed by the Employer at its 4101 Crusher Drive, O'Fallon, Missouri.  Excluded:  Office clerical employees, professional employees, guards and supervisors as defined in the Act."
Chestnut Rehab and Nursing,14-RD-285596,Saint Louis,MO,11/3/21,"Region 14, Saint Louis, Missouri",Closed,11/18/21,Withdrawal Non-adjusted,,24,,"Included:  nursing, dietary, housekeeping, laundry"
Volunteer Energy Cooperative,10-RC-285599,Decatur,TN,11/3/21,"Region 10, Atlanta, Georgia",Closed,1/20/22,Certific. of Representative,7,8,International Brotherhood of Electrical Workers Local 175,"Included:  This petition seeks a self-determination election for the presently unrepresented full-time and regular part-time Developmental Engineers to be added to the currently existing collective bargaining unit in the collective bargaining agreement effective August 1, 2021 to July 31, 2026 between Volunteer Energy Cooperative and Local Union No. 175 International Brotherhood of Electrical Workers, AFL-CIO.

Excluded:  All other employees currently excluded from the bargaining unit described above."
The Art Institute of Chicago,13-RC-285548,Chicago,IL,11/2/21,"Region 13, Chicago, Illinois",Closed,1/20/22,Certific. of Representative,273,290,"Art Institute of Chicago Workers United (AICWU), AFSCME Council 31, AFL-CIO","Included: All full-time and regular part time employees in professional and non-professional classifications.

Excluded: All confidential and managerial employees; and guards and supervisors as defined by the Act."
Valley One Community Federal Credit Union,08-RD-285504,Steubenville,OH,11/2/21,"Region 08, Cleveland, Ohio",Closed,11/17/21,Withdrawal Non-adjusted,,6,,"Included:  Tellers, customer service representative, loan officers and branch managers.
Excluded: General manager, comptroller, delinquent loan manager and all other office clerical employees, guards, part-time employees with less than six months service with the Employer, professional employees and supervisors."
Avantara Aurora,13-RC-285589,Aurora,IL,11/2/21,"Region 13, Chicago, Illinois",Closed,11/29/21,Certific. of Representative,33,33,"SEIU HC Illinois, Indiana, Missouri and Kansas","Included: See attachment A

Excluded: See attachment B"
"Technica, LLC",28-RC-285605,Fort Bliss,TX,11/2/21,"Region 28, Phoenix, Arizona",Closed,12/22/21,Certific. of Representative,5,5,International Union of Operating Engineers Local 351,"INCLUDED:  All hourly supply technician and supply technician leads employed by the Employer Technica, LLC at Building #2527, Room #6 in Fort Bliss, TX. (IPBO Weapon Reset)

EXCLUDED: All supervisors as defined by the Act."
"Paragon Systems, Inc.",05-RC-285510,Washington,DC,11/2/21,"Region 05, Baltimore, Maryland",Closed,11/8/21,Withdrawal Non-adjusted,,22,,"Included:  All full & part-time guards at the facility.  Excluded:  Office clericals, professional employees, managers & supervisors as defined by the Act."
Common Sense Media,20-RC-285543,San Francisco,CA,11/2/21,"Region 20, San Francisco, California",Closed,1/10/22,Certification of Results,66,34,,"Included: All regular and full-time employees who work at the San Francisco location in the following departments: Administration, Editorial, Engineering, Product Development, Marketing, Communication, Video, Research, Business Development, Education Marketing and Education Outreach.

Excluded: All supervisors, confidential employees, and guards."
"Paragon Systems, Inc.",05-RC-285551,Washington,DC,11/2/21,"Region 05, Baltimore, Maryland",Closed,11/16/21,Withdrawal Non-adjusted,,13,,"Included:  All full & part-time guards at the facility

Excluded:  Office clericals, professional employees, managers & supervisors as defined by the Act"
"Legoland New York, LLC",02-RC-285569,Goshen,NY,11/2/21,"Region 02, New York, New York",Closed,12/23/21,Certific. of Representative,5,5,"International Union of Operating Engineers, Local 30","Included:
All full time and part time engineers and tech workers

Excluded:  Do a substantial number (30% or more)
All office and professional employees.guards and supervisors under the act."
The School of the Art Institute of Chicago,13-RC-285549,Chicago,IL,11/2/21,"Region 13, Chicago, Illinois",Closed,1/25/22,Certific. of Representative,198,275,"Art Institute of Chicago Workers United (AICWU), AFSCME Council 31, AFL-CIO","Included: All full-time and regular part time employees in professional and non-professional classifications

Excluded: All confidential and managerial employees; and guards and supervisors as defined by the Act."
GENERAL DYNAMICS INFORMATION TECHNOLOGY,15-RC-285505,Milton,FL,11/2/21,"Region 15, New Orleans, Louisiana",Closed,11/15/21,Withdrawal Non-adjusted,,5,,"Included:  All full and regular part time Simulator Technician III, Simulator Technician II, and Simulator Technician I.

Excluded:  Office clerical employees, Professional employees, Managerial employees, Guards, Supervisors, as defined in the Act.

"
Garden Cycles LLC,19-RC-285547,Seattle,WA,11/2/21,"Region 19, Seattle, Washington",Closed,1/7/22,Certific. of Representative,20,18,Laborers International Union of North America (LIUNA) Local 242 affiliated with the Laborers International Union of North America,"Included:  Wall to wall unit of groundskeepers/landscapers.  

Excluded:  Officer clericals, guards, and supervisors.
"
Yankee Gas Services Co. d/b/a Eversource,01-RC-285563,Waterbury,CT,11/2/21,"Region 01, Boston, Massachusetts",Closed,11/26/21,Withdrawal Non-adjusted,,11,,"Included: All construction Specialists and ""Supervisors"" Excluded: Sr Supervisors and Managers and guards"
Princeton University,22-RC-285561,Princeton,NJ,11/2/21,"Region 22, Newark, New Jersey",Closed,1/24/22,Certification of Results,23,21,,"INCLUDED:  Electric/Elevator Shop Employees

EXCLUDED:  None
"
EXGEN TEXAS POWER SERVICES LLC,16-RC-285479,Fort Worth,TX,11/1/21,"Region 16, Fort Worth, Texas",Closed,1/26/22,Certification of Results,23,22,,"Included: All full time and regular part time Control Room Operators, Chemists, Electricians, O&M Technicians, I&C Technicians, Maintenance Technicians employed by the Employer at Exelon Handley Generation Station.

Excluded: All other employees, including office clerical, Plant Manager, Shift Manager, Operations Manager, Maintenance Manager, Technical Manager, Supervisor of Maintenance, Regional Planner/Scheduler, Administrative Assistant, Guards, and Supervisors within the meaning of the National Labor Relations Act."
Ecolab Production LLC,10-RD-285486,McDonough,GA,11/1/21,"Region 10, Atlanta, Georgia",Closed,3/28/22,Certification of Results,65,50,,"Included: all employees in the Company's McDonough, Georgia Plant as certified in NLRB Case 1O-RC-181379. The employees in the bargaining unit include the following categories: reliability technicians (maintenance A, B, C and D), maintenance leads, production associates, mixers, bulk bay spotter/loaders, logistics associates, production team coaches, warehouse lead workers and label control associates.

Excluded: all other employees, including, but not limited to, office clericals, customer service agents, maintenance planner schedulers, purchasing specialists, maintenance control technician, lab technicians, inventory control clerks, temporary employees, professional employees, managerial employees, and guards and supervisors as defined by the Act."
"Jones Lang LaSalle Americas, Inc.",04-RD-285496,Townsend,DE,11/1/21,"Region 04, Philadelphia, Pennsylvania",Closed,1/11/22,Certification of Results,21,20,,Included:  Operating Engineers Local 542
Daikin Applied Americas Inc.,28-RC-285489,Phoenix,AZ,11/1/21,"Region 28, Phoenix, Arizona",Closed,11/23/21,Withdrawal Non-adjusted,,11,,"INCLUDED:  All full time and regular part time service technicians and apprentices working in AZ

EXCLUDED:  Sales, office personnel, and supervisors"
"Canon Business Process Services, Inc.",20-RC-285417,Menlo Park,CA,11/1/21,"Region 20, San Francisco, California",Closed,10/7/22,Withdrawal Adjusted,52,47,,"included:
All shipping and receiving clerks in classification SRl, SR2, and SR3.
Excuded:
All other employees, supervisors, managers and guards as defined by the Act"
"Universal Protection Service, LLC d/b/a Allied Universal Security Service",22-RC-285437,Avenel,NJ,11/1/21,"Region 22, Newark, New Jersey",Closed,2/17/22,Certific. of Representative,13,7,Federal Contract Guards of America,"INCLUDED:  All full-time and regular part-time security officers currently working for Allied Universal Security on work sites 433 Blair Rd., Avenel, NJ 07001 and 1200 Malik St., Carteret, NJ 07008 under the Employer’s contract with Cowan Systems (Trucking).

EXCLUDED:  All other employees, including administrative, clerical, and non-guards, as defined by the NLRA, as amended
"
Start Elevator,02-RC-285419,Bronx,NY,11/1/21,"Region 02, New York, New York",Closed,12/16/21,Withdrawal Non-adjusted,,110,,"Included:
full time field employees

Excluded:
full time office personal, engineers and managers"
"Chemtrade Sulex, Inc.",19-RC-285465,Mount Vernon,WA,11/1/21,"Region 19, Seattle, Washington",Closed,12/30/21,Certific. of Representative,7,7,"United Steel, Paper & Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","The seven (7) hourly production and maintenance employees employed by Chemtrade at its facility located at 13221 FM Rd, Mt Vernon, WA 98273 seek to be included in the existing bargaining unit of approximately twenty-four (24) hourly production and maintenance, trucking and warehouse employees employed by Chemtrade at its facility located at 8579 N Texas Rd, Anacortes, WA 98221 as defined by the National Labor Relations Board Case No. 19-RC-2210."
"Image Comics, Inc.",19-RC-285502,Portland,OR,11/1/21,"Region 19, Seattle, Washington",Closed,1/14/22,Certific. of Representative,9,12,"Comic Book Workers United affiliated with Communications Workers of America, AFL-CIO","Included: All full-time and part-time including Production Artists, Senior Production Artists, Accounting Analysts, Digital Sales Representatives, Talent Liaisons, Marketing  Content Associates, Content Managers, Book Market and Library Sales Managers, Traffic Managers, Specialty Sales Coordinators, and Print Managers. Excluded: All statutorily excluded employees."
Care for the Homeless,02-RC-285410,Manhattan,NY,11/1/21,"Region 02, New York, New York",Closed,11/17/21,Withdrawal Non-adjusted,,76,,"Included: All full-time and part-time Housing Specialist, Activities Coordinator, Program Aide, Senior Housing Specialist, Office Manager, Porter, Community Housing Liaison, Shift Supervisor, Food Service Worker, Receptionist, Case Aide, Case Manager, Client Escort, Peer Escort/Specialist, RC- Recreation Coordinator, Intake Worker, Driver, Kitchen Aide, Case Manager Aide, Kitchen Assistant.

Excluded:
Excluded: All managerial employees, supervisors, security guards, and confidential employees as specified by the Act.
"
"Safeway, Inc.",27-RC-285422,Idaho Springs,CO,10/29/21,"Region 27, Denver, Colorado",Closed,12/21/21,Certification of Results,2,2,"United Food and Commercial Workers International Union Local 7, AFL-CIO","Included: All full-time and part-time certified and non-certified pharmacy technicians in self-determination election to determine whether they wish to be represented by Petitioner and join the existing Idaho Springs retail bargaining unit represented by Petitioner (Armour-Globe election) Excluded: Store director, Assistant Store director, all other employees, supervisors, security, confidential, professional, and all temporary employees as defined in the Act."
Main Street Car Wash,29-RD-285320,Flushing,NY,10/29/21,"Region 29, Brooklyn, New York",Closed,11/9/21,Withdrawal Non-adjusted,,33,,"Including: All employees working on the premises of the Employer performing services needed
for washing or detailing automobiles and other vehicles at the Employer's facility located at 5734
Main Street, Flushing, NY.

Excluding: Cashiers, managers, supervisors, and guards."
Politico LLC,05-RC-285327,Arlington,VA,10/29/21,"Region 05, Baltimore, Maryland",Closed,11/10/21,Withdrawal Non-adjusted,,260,,"Included:  All full-time and regular part-time editorial employees of Politico and E&E News.

Excluded:  Managers, guards, and supervisors as defined by the Act."
Las Americas Immigrant Advocacy Center,28-RC-285421,El Paso,TX,10/29/21,"Region 28, Phoenix, Arizona",Closed,11/19/21,Withdrawal Non-adjusted,,19,,"INCLUDED:  All non-excluded employees at 1500 East Yandell Drive in El Paso

EXCLUDED:  Supervisors and confidential employees, and others excluded by the Act."
"Carris Health, LLC",18-RC-285407,Willmar,MN,10/29/21,"Region 18, Minneapolis, Minnesota",Closed,12/21/21,Certification of Results,6,6,AFSCME LOCAL #3296,"Included:  All full- and part-time Surgical Techs: Globe into AFSCME Local 3296.

Excluded:  Supervisors and confidential employees."
"Production Resource Group, LLC",31-RC-285358,Van Nuys,CA,10/29/21,"Region 31, Los Angeles, California",Closed,11/30/21,Certific. of Representative,4,5,Teamsters Local 399,"Included: All regular full-time and part-time CDL Drivers

Excluded: Standard exclusions"
Cherokee Freight Lines,32-RC-285501,Madera,CA,10/29/21,"Region 32, Oakland, California",Closed,6/8/22,Certific. of Representative,14,12,TEAMSTERS LOCAL 853,"Included:  All full-time and regular part-time mechanics, tank washers, and hostlers

Excluded:  All other employees, clerical employees, guards and supervisors as defined by the Act."
"Sterigenics U.S., LLC",13-RC-285331,Gurnee,IL,10/28/21,"Region 13, Chicago, Illinois",Closed,12/20/21,Certification of Results,36,27,,"Included:  All full-time and part-time operators and maintenance employees.

Excluded:  All other employees, including office clericals, shipping and receiving employees, drivers, professional employees, confidential employees, guards, managers and supervisors as defined in the National Labor Relations Act."
THE POWERS MANUFACTURING COMPANY,18-RM-285330,Waterloo,IA,10/28/21,"Region 18, Minneapolis, Minnesota",Closed,12/21/21,Certification of Results,,31,,"All production, cutting and maintenance employees of The Powers Manufacturing Company of Waterloo, Iowa; excluding executives, supervisory employees, forepersons, clerical and office employees."
"Xylem Dewatering Solutions, Inc.",13-RC-285290,Mokena,IL,10/28/21,"Region 13, Chicago, Illinois",Closed,12/10/21,Certification of Results,12,10,,"Included:  All regular full and part-time technicians, pump mechanics, field service/road mechanics, drivers, field operators, and yardmen.

Excluded:  All guards, supervisors, managers, and clericals as defined by the Act."
Wildcat Materials,14-RC-285216,Columbia,MO,10/27/21,"Region 14, Saint Louis, Missouri",Closed,11/5/21,Withdrawal Non-adjusted,,5,,"Included: Workers consisting of drywall material operators, handlers/laborers and drivers Excluded: office staff including supervisors and dispatchers"
"Argent Materials, Inc.",32-RC-285284,Oakland,CA,10/27/21,"Region 32, Oakland, California",Closed,12/6/21,Certific. of Representative,2,2, Teamsters Local 853,"Included:  All full-time and regular part-time dump truck drivers employed by the Employer at its Oakland, CA facilities.

Excluded:  All other employees, guards and supervisors as defined by the Act."
Delaware Resource Group of Oklahoma LLC,08-RC-285244,Swanton,OH,10/27/21,"Region 08, Cleveland, Ohio",Closed,1/24/22,Certific. of Representative,2,2,"International Association of Machinists and Aerospace Workers, AFL-CIO","Included

Sim
 Techs

Excluded

All others"
"Sawtooth Caverns, LLC",27-RC-285229,Delta,UT,10/27/21,"Region 27, Denver, Colorado",Closed,1/14/22,Certification of Results,16,14,,"Include: All full-time Terminal Operators, Control Room Operators, Shift Leads, Lab Technicians, Electricians, and Maintenace Technicians employed by the Employer. Exclude: All other employees, confidential employees, guards and supervisors as defined by the Act."
"Transdev Services, Inc.",21-RC-285259,Chula Vista,CA,10/27/21,"Region 21, Los Angeles, California",Closed,4/22/22,Certific. of Representative,3,3,"Salesdrivers, Helpers, and Dairy Employees Local 683, International Brotherhood of Teamsters","Included:  All regular full and part time revenue clerk, clerk and building maintenance employees employed by the Employer at its facility at 3610 Main St., Chula Vista, CA to be Armour Globed in the existing maintenance contract.

Excluded:  All other employees, drivers, mechanics, service workers, bus stop techs, office clerical employees, confidential employees, managerial employees professional employees, guards, and supervisors as defined in the Act."
"Ellis Geothermal, Inc., d/b/a Massmann Geothermal & Mechanical",18-RC-285336,Zimmerman,MN,10/27/21,"Region 18, Minneapolis, Minnesota",Closed,12/28/21,Certification of Results,12,10,,"Included: Regular and part time journeyman and apprentice pipefitters, plumbers, HHVAC techs 

Excluded: All others"
