"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Allegations,Participants,Union,"Unit Sought",Voters
C,"Region 01, Boston, Massachusetts",01-CA-254333,"Student Transportation of America/ Ocean State Transit",Closed,01/08/2020,02/07/2020,"Withdrawal Adjusted","East Providence",RI,200,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charging Party, Legal Representative, Gursky Marc, GURSKY/WIENS, 1130 Ten Rod Road, Suite C207, North Kingstown, RI, 02852, (401)294-4700
Charging Party, Union, Teamsters Local 251, East Providence, RI, 02914-____
Charged Party / Respondent, Employer, Student Transportation of America/ Ocean State Transit, East Providence, RI, 02914-____
",,,
R,"Region 02, New York, New York",02-RC-254325,"Laura B. Thomas Houses, LP",Closed,01/08/2020,02/11/2020,"Certification of Results",Bronx,NY,3,,"Employer, Legal Representative, Labuda Joseph, Milman Labuda Law Group PLLC, 3000 Marcus Avenue, Suite 3W8, Lake Success, NY, 11042-1009, (516)303-1380
Petitioner, Legal Representative, Cole Larry, STARR, GERN, 105 Eisenhower Parkway, Suite 401, Roseland, NJ, 07068, (973)403-9200
Employer, Legal Representative, Mauro Michael, MARSHALL M. MILLER AND ASSOCIATES, INC, 3000 Marcus Avenue, Suite 3W8, Lake Success, NY, 11042, (516)303-1400
Employer, Employer, Laura B. Thomas Houses, LP, Bronx, NY, 10462
Petitioner, Union, L.I.F.E. Local 1032, Brooklyn, NY, 11209, (973)403-9200
",,"Included: All regular full time and part-time superintendents, handymen, and porters employed by the Employer at its New York, NY facilities located at 117 West 138th Street; 115 West 138th Street; 111 West 138th Street; 101 West 138th Street; 170 West 136th Street; and 174 West 136th Street.

Excluded: all other employees, including office clerical employees, and guards, and professional employees and supervisors as defined in the Act.",3
C,"Region 07, Detroit, Michigan",07-CA-254343,"Gun Lake Tribal Gaming Authority d/b/a Gun Lake Casino",Closed,01/08/2020,03/31/2020,"Withdrawal Non-adjusted",Wayland,MI,1000,"8(a)(1) Coercive Rules
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Crotty Sean, Honigman Miller Schwartz and Cohn, LLP, 660 Woodward Ave., Ste. 2290, Detroit, MI, 48226-3583, (313)465-7336
Charging Party, Individual
Charged Party / Respondent, Employer, Gun Lake Casino, Wayland, MI, 49348-9476
",,,
C,"Region 07, Detroit, Michigan",07-CA-254341,"Dunn Paper, Inc.",Closed,01/08/2020,01/19/2021,"Withdrawal Adjusted","Port Huron",MI,130,"8(a)(5) Refusal to Furnish Information
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(3) Discipline
","Charging Party, Notification, Jury David, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, Legal Department, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222-1214, (412)562-2545
Charged Party / Respondent, Legal Representative, Davis Timothy, Constangy Brooks Smith & Prophete LLP, 2600 Grand Blvd Ste 750, Kansas City, MO, 64108-4628, (816)329-5910
Charged Party / Respondent, Employer, Dunn Paper, Inc., Port Huron, MI, 48060
Charging Party, Union, Local 2-1017, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union (USW), AFL-CIO, Port Huron, MI, 48060
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-254340,"United States Postal service",Closed,01/08/2020,08/21/2020,"Dismissal Non-adjusted",Montgomery,AL,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Union, AMERICAN POSTAL WORKERS  UNION, MONTGOMERY AREA LOCAL 323, Montgomery, AL, 36124-1045
Charged Party / Respondent, Employer, United States Postal Service, Montgomery, AL, 36119
",,,
C,"Region 09, Cincinnati, Ohio",09-CA-254342,"FORD MOTOR COMPANY",Open,01/08/2020,,,Cincinnati,OH,2000,"8(a)(3) Discipline
8(a)(2) Domination
","Charged Party / Respondent, Legal Representative, Kulp Steven, Ford Motor Company, One American Road, World Headquarters, Suite 404-A5, Dearborn, MI, 48126-2701, (313)322-3571
Charging Party, Individual
Charged Party / Respondent, Employer, FORD MOTOR COMPANY, Cincinnati, OH, 45241
Charged Party / Respondent, Additional Service, Ford Motor Company, Dearborn, MI, 48126-2568
",,,
C,"Region 25, Indianapolis, Indiana",25-CA-254413,"Muncie Indiana Transit Center",Closed,01/08/2020,01/14/2020,"Withdrawal Non-adjusted",Muncie,IN,70,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charging Party, Union, Amalgamated Transit Union Local 1499, Yorktown, IN, 47396
Charged Party / Respondent, Employer, First Transit, Muncie, IN, 47302
",,,
C,"Region 08, Cleveland, Ohio",08-CA-254302,"Midwest Curtainwalls, Inc.",Closed,01/08/2020,10/29/2020,"Informal Settlement",Bedford,OH,30,"8(a)(5) Failure to Sign Agreement
","Charged Party / Respondent, Legal Representative, Hubbert Christopher, KOHRMAN JACKSON & KRANTZ P.L.L., 1375 E 9th St, One Cleveland Center 20th Fl, Cleveland, OH, 44114-1739, (216)736-7240
Charged Party / Respondent, Legal Representative, Ross Lyndsay, KOHRMAN JACKSON & KRANTZ P.L.L., 1375 E 9th St, One Cleveland Center 20th Fl, Cleveland, OH, 44114-1739, (216)736-7240
Charged Party / Respondent, Legal Representative, Gilmore Robert, Kohrman, Jackson & Krantz LLP, 1375 East Ninth Street, One Cleveland Center, 29th Floor, Cleveland, OH, 44114-1793, (216)736-7240
Charged Party / Respondent, Employer, Midwest Curtainwalls, Inc., 22209 Rockside Rd., Bedford, OH, 44146, (216)641-7900
Charged Party / Respondent, Additional Service, MIDWEST CURTAINWALLS, INC. c/o Statutory Agent, 1600 CNB Corp., 1375 E 9th St., 29th Fl, Cleveland, OH, 44114
Charging Party, Union, Iron Workers Regional Shop Local Union No. 851 a/w International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers, AFL-CIO, 501 Corporate Drive, Cannonsburg, PA, 15317, (724)415-8631
",,,
R,"Region 21, Los Angeles, California",21-RC-254311,"Riverside Healthcare System, L.P., d/b/a Riverside Community Hospital",Closed,01/08/2020,01/31/2020,"Certific. of Representative",Riverside,CA,102,,"Petitioner, Legal Representative, Harland Bruce, Weinberg Roger & Rosenfeld, 1375  55th Street, Emeryville, CA, 94608-2609, (510)337-1001
Employer, Legal Representative, Beshears Paul, Ford Harrison, LLP, 271 17th St NW, Suite 1900, Atlanta, GA, 30363-6202, (404)888-3879
Employer, Employer, RIVERSIDE HEALTHCARE SYSTEM, L.P., D/B/A RIVERSIDE COMMUNITY HOSPITAL, RIVERSIDE, CA, 92501
Petitioner, Union, Service Employees International Union - United Healthcare Workers West, Los Angeles, CA, 90022-5119
","Service Employees International Union - United Healthcare Workers West","Included: All full-time and part-time Physical Therapists, Occupational Therapists, Speech & Language Pathologists, Clinical Lab Scientists, Pharmacists.

Excluded: All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act.",92
C,"Region 32, Oakland, California",32-CA-254384,"Children's Hospital and Research Center of Oakland, Inc. d/b/a UCSF Benioff Children's Hospital Oakland",Closed,01/08/2020,06/25/2020,"Informal Settlement",Oakland,CA,331,"8(a)(5) Refusal to Furnish Information
","Charging Party, Legal Representative, Hoffman Florice, Law Office of Florice Hoffman  LC, 8502 East Chapman Avenue, Suite 353, Orange, CA, 92869-2461, (714)282-1179
Charged Party / Respondent, Employer, Children's Hospital and Research Center of Oakland, Inc. d/b/a UCSF Benioff Children's Hospital Oakland, Oakland, CA, 94609
Charging Party, Union, National Union of Healthcare Workers, Emeryville, CA, 94608
",,,
C,"Region 22, Newark, New Jersey",22-CB-254437,"Local 32B-32J, Service Employees International Union (Summit Security)",Closed,01/08/2020,03/18/2020,"Withdrawal Non-adjusted","New York",NY,100,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Flamenco Gabriela, Local 32BJ SEIU, 25 West 18th Street, New York, NY, 10011-4677, (212)388-2145
Charging Party, Individual
Charged Party / Respondent, Union, Local 32BJ, Service Employees International Union, New York, NY, 10011
Involved Party, Employer, SUMMIT SECURITY SERVICES, INC., UNION, NJ, 07083
",,,
C,"Region 03, Buffalo, New York",03-CA-254265,"Chatham Rescue Squad",Closed,01/08/2020,01/22/2020,"Withdrawal Non-adjusted",Chatham,NY,14,"8(a)(3) Discipline
","Charged Party / Respondent, Legal Representative, Goldberger Franklin, Girvin Ferlazzo, 20 Corporate Woods Blvd, Albany, NY, 12211-2396, (518)462-0300
Charged Party / Respondent, Employer, Chatham Rescue Squad, Inc., Ghent, NY, 12037
Charging Party, Union, United Professional and Service Employees Union Local 1222, Albany, NY, 12205
",,,
R,"Region 12, Tampa, Florida",12-RC-254338,"MV Transportation, Inc.",Closed,01/08/2020,02/07/2020,"Certific. of Representative",Jacksonville,FL,10,,"Employer, Legal Representative, Martin Kerry, Fisher & Phillips LLP, 3200 N. Central Ave, Suite 1550, Phoenix, AZ, 85012, (602)281-3416
Employer, Employer, MV Transportation, Jacksonville, FL, 32204, (904)403-3580
Petitioner, Union, INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO, Arlington, TX, 76011, (817)505-0100
","INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO","Included:  All full and Regular part time hourly reservationists working for the company at the Jacksonville, FL. facility.
EXCLUDED: Office clerical employees, Professional employees, managerial employees, guards and supervisors as defined in the Act.",11
C,"Region 19, Seattle, Washington",19-CB-254394,"APWU (United States Postal Service)",Closed,01/08/2020,03/26/2020,"Dismissal Non-adjusted",Westport,WA,35,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Individual
Charged Party / Respondent, Union, APWU, Portland, OR, 97230
Involved Party, Employer, United States Postal Service, Westport, WA, 98595
",,,
C,"Region 12, Tampa, Florida",12-CB-254314,"National Association of Letter Carriers Local 1690 (United States Postal Service)",Closed,01/08/2020,03/13/2020,"Withdrawal Non-adjusted",Wellington,FL,40,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
8(b)(2) Union Security Related Actions
","Charged Party / Respondent, Legal Representative, Nesbitt Dan, Cohen, Weiss and Simon LLP, 900 Third Avenue,  Suite 2100, New York, NY, 10022-4869, (212)356-0233
Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Individual
Involved Party, Employer, United States Postal Service, Wellington, FL, 33414-6500
Charged Party / Respondent, Union, National Association of Letter Carriers Local 1690, Palm Springs, FL, 33406-6602
",,,
C,"Region 18, Minneapolis, Minnesota",18-CB-254315,"National Association of Letter Carriers (NALC) Branch 2 (United States Postal Service)",Closed,01/08/2020,04/09/2020,"Dismissal Non-adjusted",Milwaukee,WI,200,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charging Party, Individual
Charged Party / Respondent, Union, National Association of Letter Carriers (NALC) Branch 2, Milwaukee, WI, 53214-2172
Charged Party / Respondent, 
",,,
C,"Region 02, New York, New York",02-CB-254428,"Local Union 147 (Various Employer)",Closed,01/08/2020,02/07/2020,"Withdrawal Non-adjusted","New York",NY,50,"8(b)(1)(A) Hiring Halls
","Charged Party / Respondent, Legal Representative, Sturm Ira, Raab, Sturm & Ganchrow, LLP, 2125 Center Avenue, Suite 199, Fort Lee, NJ, 07024, (201)292-0150
Charged Party / Respondent, Legal Representative, Russo Marianne, Manning & Russo, LLC, 65 Pondfield Road, Bronxville, NY, 10708, (914)793-0288
Charged Party / Respondent, Union, Local Union 147, Fort Lee, NJ, 07024-5810
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-254369,"United States Postal Service",Closed,01/08/2020,03/05/2020,"Dismissal Non-adjusted",Richmond,VA,100,"8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Kearns Jennifer, United States Postal Service, Law Department - NLRB Unit, 1720 Market Street, Room 2400, Saint Louis, MO, 63155-9948, (314)345-5840
Charged Party / Respondent, Employer, United States Postal Service, Richmond, VA, 23232
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-254363,"United States Postal Service",Closed,01/08/2020,09/21/2022,"Withdrawal Adjusted",Richmond,VA,100,"8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Law Department - NLRB Unit, 475 L'Enfant Plaza, SW, Washington, DC, 20260, (720)221-5128
Charged Party / Respondent, Legal Representative, Kearns Jennifer, United States Postal Service, Law Department - NLRB Unit, 1720 Market Street, Room 2400, Saint Louis, MO, 63155-9948, (314)345-5840
Charging Party, Individual
Charged Party / Respondent, Employer, United States Postal Service, Richmond, VA, 23232
Involved Party, Union, National Association of Letter Carriers, Branch 496, Richmond, VA, 23222-4206
",,,
C,"Region 05, Baltimore, Maryland",05-CA-254401,"United States Postal Service",Closed,01/08/2020,09/21/2022,"Withdrawal Non-adjusted",Richmond,VA,100,"8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Law Department - NLRB Unit, 475 L'Enfant Plaza, SW, Washington, DC, 20260, (720)221-5128
Charged Party / Respondent, Legal Representative, Kearns Jennifer, United States Postal Service, Law Department - NLRB Unit, 1720 Market Street, Room 2400, Saint Louis, MO, 63155-9948, (314)345-5840
Charging Party, Individual
Charged Party / Respondent, Employer, United States Postal Service, Richmond, VA, 23232
Involved Party, Union, National Association of Letter Carriers, Branch 496, Richmond, VA, 23222-4206
",,,
C,"Region 22, Newark, New Jersey",22-CA-254444,"Gateway Group One",Closed,01/08/2020,02/13/2020,"Withdrawal Adjusted",Newark,NJ,13,"8(a)(3) Changes in Terms and Conditions of Employment
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charging Party, Union, UFCW, LOCAL NO. 108, RWDSU DISTRICT COUNCIL, Maplewood, NJ, 07040-2414
Charged Party / Respondent, Employer, GATEWAY GROUP ONE, Newark, NJ, 07105-2911
",,,
R,"Region 22, Newark, New Jersey",22-RC-254344,"AGI, ALLIANCE  GROUND INTERNATIONAL",Closed,01/08/2020,01/22/2020,"Withdrawal Non-adjusted",Newark,NJ,90,,"Intervenor, Legal Representative, Garren Brent, SEIU Local 32BJ, 25 West 18th Street, New York, NY, 10011, (212)388-3943
Petitioner, Legal Representative, McCarthy Bryan, BCM Associates, 1454 Route 22 Suite B101, Brewster, NY, 10509, (914)588-4480
Employer, Legal Representative, Hall Douglas, Jones Day, 51 Louisiana Ave., N.W.,, Washington, DC, 20001, (202)879-5432
Employer, Employer, AGI, Alliance Ground International, Newark, NJ, 07114, (973)685-3579
Petitioner, Union, Amalgamated Local 298, AFL-CIO, IUAPNW, Valley Stream, NY, 11580, (516)872-6690
Intervenor, Union, LOCAL 32BJ, SEIU, New York, NY, 10013-1941
",,"Included: ALL GARGO AGENTS EMPLOYED BY AGI IN NEWARK AIRPORT Excluded: all managers, professional employees and guards as defined by the act",
C,"Region 09, Cincinnati, Ohio",09-CA-254337,"NOKIA OF AMERICA CORP.",Closed,01/08/2020,10/23/2020,"Withdrawal Adjusted",Cincinnati,OH,203,"8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Posey Thomas, SEYFARTH SHAW LLP, 233 S Wacker Dr Ste 8000, Chicago, IL, 60606-6448, (213)270-9650
Charged Party / Respondent, Employer, NOKIA OF AMERICA CORPORATION, 600 Mountain Avenue Room 6C-419, Murray Hill, NJ, 07974-2070, (908)830-0470
Charging Party, Union, COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO (CWA), 501 3rd St., NW, Washington, DC, 20001-2760, (202)434-1214
",,,
C,"Region 01, Boston, Massachusetts",01-CB-254364,"United Government Security Officers of America International Union Local 15 (G4S Regulated Security Solutions, a division of G4S Secure Solutions (USA) Inc.)",Closed,01/08/2020,02/18/2020,"Withdrawal Non-adjusted",Rowe,MA,5,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Legal Representative, SELEMAN FRED, G4S NORTH AMERICA, 1515 N. Highway A1A, #201, Indialantic, FL, 32903, (440)552-9926
Charged Party / Respondent, Union, United Government Security Officers of America International Union Local 15, Rowe, MA, 01367-____
Involved Party, Employer, G4S Security Solutions (USA) Inc., Rowe, MA, 01367-____
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-254403,"United States Postal Service",Closed,01/08/2020,02/28/2020,"Dismissal Non-adjusted",Richmond,VA,100,"8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Individual
Charged Party / Respondent, Employer, United States Postal Service, Richmond, VA, 23232
",,,
C,"Region 31, Los Angeles, California",31-CA-254304,"Antelope Valley Hospital",Closed,01/08/2020,03/17/2020,"Withdrawal Non-adjusted",Lancaster,CA,100,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(3) Discipline
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Employer, Antelope Valley Hospital, Lancaster, CA, 93534-2814
Charging Party, Individual
",,,
C,"Region 18, Minneapolis, Minnesota",18-CA-254294,"CNH Industrial",Closed,01/08/2020,02/24/2020,"Dismissal Non-adjusted",Fargo,ND,450,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Hall Larry, Ford & Harrison LLP, 180 N. Stetson Avenue, Suite 1660, Chicago, IL, 60601, (312)960-6104
Charged Party / Respondent, Employer, CNH INDUSTRIAL, Fargo, ND, 58102-3083
Charging Party, Union, District Lodge 5, International Association of Machinists and Aerospace Workers AFL-CIO, Oakbrook Terrace, IL, 60181
",,,
C,"Region 12, Tampa, Florida",12-CA-254391,"United States Postal Service",Closed,01/08/2020,02/04/2020,"Withdrawal Adjusted",Hollywood,FL,100,"8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Employer, United States Postal Service, Hollywood, FL, 33022-0010
Charged Party / Respondent, Additional Service
Charging Party, Union, National Association of Letter Carriers, Branch 1071, Miami, FL, 33269-1122
",,,
C,"Region 25, Indianapolis, Indiana",25-CB-254416,"UAW, Local 1268 (Android Industries)",Closed,01/07/2020,01/22/2020,"Withdrawal Non-adjusted",Belvidere,IL,1000,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charging Party, Individual
Involved Party, Employer, Android Industries, Belvidere, IL, 61008-6310
Charged Party / Respondent, Additional Service, International Union, United Automobile Workers of America, Local Union No. 1268, Belvidere, IL, 61008
Charged Party / Respondent, 
Charged Party / Respondent, Union, UAW, LOCAL 1268, Dixon, IL, 61021-2050
",,,
C,"Region 08, Cleveland, Ohio",08-CB-254298,"Chicago & Midwest Regional Joint Board, Workers United and its Local 1385 (Wilson Sporting Goods)",Closed,01/07/2020,01/24/2020,"Withdrawal Non-adjusted",Ada,OH,90,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Lichtman David, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, LLP, 8 South Michigan Avenue, 19th Floor, Chicago, IL, 60603, (312)372-1361
Involved Party, Legal Representative, Campbell David, Lewis Brisbois  Bisgaard & Smith LLP, 1375 E 9th St Ste 2250, Cleveland, OH, 44114-1410, (216)298-1261
Involved Party, Legal Representative, Slezak Donald, Lewis Brisbois  Bisgaard & Smith LLP, 1375 E 9th St Ste 2250, Cleveland, OH, 44114-1410, (216)298-1263
Charging Party, Individual
Charged Party / Respondent, Union, Chicago Midwest Regional Joint Board Workers United Local 2378, Chicago, IL, 60607
Involved Party, Employer, WILSON SPORTING GOODS COMPANY, Ada, OH, 45810-1135
",,,
C,"Region 21, Los Angeles, California",21-CB-254243,"WHOLESALE DELIVERY DRIVERS, GENERAL TRUCK DRIVERS, CHAUFFEURS, SALES, INDUSTRIAL AND ALLIED WORKERS, TEAMSTERS LOCAL 848 INTERNATIONAL BROTHERHOOD OF TEAMSTERS (Transdev)",Closed,01/07/2020,01/23/2020,"Withdrawal Non-adjusted",Glendora,CA,90,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Gutman Dickinson Julie, Bush Gottlieb, A Law Corporation, 801 North Brand Blvd., Suite 950, Glendale, CA, 91203-1260, (818)973-3228
Charging Party, Individual
Involved Party, Employer, Transdev, Lombard, IL, 60148
Charged Party / Respondent, Union, Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Sales, Industrial and Allied Workers Local 848, International Brotherhood of Teamsters, Glendora, CA, 91740
",,,
C,"Region 28, Phoenix, Arizona",28-CA-254288,"Bodega Latina Corporation d/b/a El Super",Closed,01/07/2020,06/01/2020,"Withdrawal Non-adjusted",Phoenix,AZ,100,"8(a)(1) Coercive Rules
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Wheeless Steven, STEPTOE & JOHNSON LLP, 1330 CONNECTICUT AVE NW, WASHINGTON, DC, 20036, (202)429-6403
Charged Party / Respondent, Employer, Bodega Latina Corporation d/b/a El Super, Phoenix, AZ, 85031
Charging Party, Individual
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-254242,"UNITED STATES POSTAL SERVICE",Closed,01/07/2020,03/10/2023,"Withdrawal Non-adjusted",Memphis,TN,400,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Law Department - NLRB Unit, 475 L'Enfant Plaza, SW, Washington, DC, 20260, (720)221-5128
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, MEMPHIS, TN, 38136
Charging Party, Union, AMERICAN POSTAL WORKERS UNION LOCAL 96, Cordova, TN, 38016-5382
",,,
C,"Region 09, Cincinnati, Ohio",09-CA-254270,"CROWN HOLDINGS, INC.",Closed,01/07/2020,07/13/2020,"Withdrawal Adjusted",Lancaster,OH,100,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(3) Discipline
","Charging Party, Legal Representative, Ford Julie, Doll, Jansen & Ford, 111 W First St, Suite 1100, Dayton, OH, 45402-1156, (937)461-5310
Charged Party / Respondent, Legal Representative, Wilson Patrick, 1909 K Street, NW, Suite 1000, Washington, DC, 20006, (202)263-0243
Charged Party / Respondent, Legal Representative, Goodboe Ruth, Ogletree, Deakins, Nash, Smoak & Stewart, PC, One PPG Place, Suite 1900, Pittsburgh, PA, 15222-5417, (412)315-6044
Charged Party / Respondent, Employer, Crown Holdings, Inc., Lancaster, OH, 43130
Charging Party, Union, SHEET METAL WORKERS INTERNATIONAL ASSOCIATION LOCAL UNION  NO. 24, AFL-CIO (SMWIA), CINCINNATI, OH, 45237-1997
",,,
C,"Region 14, Saint Louis, Missouri",14-CA-254217,"Washington University in St. Louis",Closed,01/07/2020,02/04/2020,"Dismissal Non-adjusted","Saint Louis",MO,1000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Franklin Corey, Ford Harrison, LLP, 7777 Bonhomme Avenue, Suite 1710, Clayton, MO,  63105, (314)257-0301
Charged Party / Respondent, Employer, Washington University in St. Louis, Saint Louis, MO, 63130
Charging Party, Individual
",,,
C,"Region 02, New York, New York",02-CA-254468,"Harvard Maintenance",Closed,01/07/2020,03/31/2020,"Withdrawal Non-adjusted","New York",NY,5000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Individual
Charged Party / Respondent, Employer, Harvard Maintenance, New York, NY, 10038
",,,
R,"Region 13, Chicago, Illinois",13-RC-254201,"Trane U.S., Inc.",Closed,01/07/2020,02/11/2020,"Certific. of Representative",Willowbrook,IL,44,,"Petitioner, Legal Representative, Bolek Keith, O'DONOGHUE & O'DONOGHUE, LLP, 5301 Wisconsin Avenue NW, Suite 800, Washington, DC, 20015-2000, (202)362-0041
Employer, Legal Representative, Ajalat Peter, Littler Mendelson, P.C., One Newark Center, 8th Floor, Newark, NJ, 07102, (973)848-4737
Employer, Legal Representative, Sims Tyler, Littler Mendelson, P.C., 1085 Raymond Blvd, 8th Floor, Newark, NJ, 07102, (973)848-4747
Petitioner, Union, Pipefitters Local 597, Chicago, IL, 60607
Employer, Employer, Trane U.S., Inc., Willowbrook, IL, 60527, (888)770-6469
","Pipefitters Local 597","Included:  All full-time and regular part time HVAC journeymen service technicians, service technician team leaders, building automation systems service technicians, building automation systems team leads, core service technicians, master technicians, and apprentice technicians employed by the Employer at its Willowbrook, Illinois facility.  Excluded:  All other employees, office clerical employees, professional employees, guards and supervisors as defined by the Act.",47
C,"Region 13, Chicago, Illinois",13-CB-254234,"Teamsters Local 727 (Cook DuPage Transportation Co., Inc.)",Closed,01/07/2020,01/28/2020,"Dismissal Non-adjusted",Chicago,IL,600,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Brown Jayna, Teamsters Local 727, 1300 Higgins Road, Suite 111, Park Ridge, IL, 60068-5764, (847)696-7500
Involved Party, Employer, Cook DuPage Transportation Co., Inc., Chicago, IL, 60607
Charged Party / Respondent, Union, Teamsters Local 727, Park Ridge, IL, 60068-____
Charging Party, Individual
",,,
